iter	Passed	Remaining
0	4	4828
1	8	4052
2	12	4043
3	16	4082
4	19	3879
5	24	4128
6	28	4099
7	31	3964
8	35	3909
9	40	3960
10	42	3863
11	47	3881
12	51	3894
13	54	3846
14	58	3866
15	62	3857
16	65	3803
17	70	3871
18	75	3888
19	79	3905
20	82	3852
21	87	3878
22	90	3834
23	94	3823
24	98	3823
25	101	3808
26	118	4257
27	122	4251
28	124	4178
29	129	4180
30	135	4224
31	144	4359
32	148	4358
33	153	4349
34	163	4497
35	169	4542
36	175	4580
37	183	4638
38	193	4775
39	199	4783
40	204	4777
41	207	4736
42	212	4724
43	216	4705
44	219	4659
45	223	4644
46	228	4627
47	231	4595
48	242	4711
49	246	4692
50	250	4656
51	253	4616
52	257	4599
53	260	4561
54	264	4546
55	268	4528
56	271	4496
57	276	4486
58	280	4470
59	283	4444
60	288	4436
61	292	4419
62	295	4392
63	299	4382
64	303	4368
65	306	4340
66	311	4333
67	315	4321
68	321	4339
69	326	4339
70	329	4315
71	335	4319
72	339	4313
73	344	4316
74	348	4293
75	352	4282
76	355	4266
77	359	4246
78	363	4238
79	366	4214
80	370	4198
81	374	4191
82	377	4173
83	382	4171
84	387	4172
85	391	4165
86	394	4144
87	399	4136
88	402	4120
89	405	4103
90	410	4095
91	412	4075
92	417	4068
93	421	4059
94	424	4043
95	428	4034
96	432	4028
97	435	4011
98	439	4003
99	443	3993
100	447	3984
101	452	3986
102	459	4004
103	471	4064
104	477	4074
105	482	4072
106	493	4120
107	500	4133
108	505	4133
109	511	4138
110	515	4132
111	521	4136
112	525	4122
113	529	4114
114	533	4103
115	536	4085
116	540	4079
117	544	4070
118	547	4054
119	552	4049
120	556	4041
121	559	4025
122	563	4020
123	567	4010
124	570	3995
125	574	3988
126	577	3972
127	581	3958
128	585	3954
129	588	3940
130	592	3929
131	596	3923
132	599	3908
133	603	3897
134	607	3893
135	610	3879
136	614	3873
137	619	3872
138	623	3860
139	627	3852
140	631	3845
141	634	3832
142	638	3826
143	641	3813
144	644	3801
145	649	3797
146	653	3791
147	656	3779
148	661	3779
149	666	3779
150	670	3768
151	673	3756
152	677	3751
153	681	3741
154	684	3730
155	688	3725
156	691	3713
157	696	3712
158	700	3706
159	704	3700
160	707	3689
161	713	3690
162	717	3686
163	720	3674
164	725	3671
165	729	3667
166	734	3662
167	740	3667
168	746	3671
169	749	3660
170	754	3657
171	758	3652
172	761	3641
173	766	3636
174	771	3636
175	776	3633
176	779	3624
177	785	3625
178	789	3623
179	795	3622
180	798	3615
181	802	3604
182	806	3599
183	809	3588
184	812	3579
185	816	3573
186	819	3564
187	824	3560
188	829	3558
189	834	3555
190	837	3546
191	841	3541
192	845	3533
193	848	3524
194	852	3518
195	856	3514
196	859	3504
197	864	3499
198	868	3494
199	872	3489
200	876	3484
201	880	3478
202	883	3468
203	887	3464
204	892	3459
205	895	3449
206	899	3445
207	903	3440
208	906	3430
209	910	3425
210	913	3416
211	917	3411
212	921	3406
213	925	3397
214	929	3392
215	933	3387
216	936	3379
217	940	3374
218	944	3369
219	947	3360
220	952	3355
221	955	3347
222	959	3341
223	963	3337
224	966	3328
225	970	3325
226	975	3322
227	979	3317
228	983	3310
229	989	3312
230	994	3309
231	999	3308
232	1004	3305
233	1009	3304
234	1015	3304
235	1019	3300
236	1023	3295
237	1029	3294
238	1131	3601
239	1138	3604
240	1144	3603
241	1149	3601
242	1167	3637
243	1175	3643
244	1206	3718
245	1212	3715
246	1218	3715
247	1224	3713
248	1231	3714
249	1237	3712
250	1245	3715
251	1270	3770
252	1275	3765
253	1279	3759
254	1283	3749
255	1288	3744
256	1293	3739
257	1298	3733
258	1301	3723
259	1306	3718
260	1311	3712
261	1316	3707
262	1321	3702
263	1324	3693
264	1330	3690
265	1335	3685
266	1340	3681
267	1345	3675
268	1349	3666
269	1352	3657
270	1359	3657
271	1369	3665
272	1374	3661
273	1381	3661
274	1387	3658
275	1396	3662
276	1401	3659
277	1405	3651
278	1410	3645
279	1415	3640
280	1421	3636
281	1426	3630
282	1429	3621
283	1435	3618
284	1440	3614
285	1445	3608
286	1451	3605
287	1456	3599
288	1459	3590
289	1465	3588
290	1468	3578
291	1474	3574
292	1479	3569
293	1484	3563
294	1487	3553
295	1492	3548
296	1497	3543
297	1501	3538
298	1506	3531
299	1509	3522
300	1514	3517
301	1519	3510
302	1523	3505
303	1527	3496
304	1533	3493
305	1538	3488
306	1542	3482
307	1547	3476
308	1551	3468
309	1556	3463
310	1559	3454
311	1562	3446
312	1567	3441
313	1572	3436
314	1577	3430
315	1589	3440
316	1594	3435
317	1598	3427
318	1602	3422
319	1607	3416
320	1612	3410
321	1615	3401
322	1620	3396
323	1626	3392
324	1630	3386
325	1633	3377
326	1638	3371
327	1643	3367
328	1648	3361
329	1651	3353
330	1656	3347
331	1662	3345
332	1673	3353
333	1682	3355
334	1688	3352
335	1694	3349
336	1698	3341
337	1703	3336
338	1708	3331
339	1713	3325
340	1718	3321
341	1721	3312
342	1727	3308
343	1732	3304
344	1737	3298
345	1742	3293
346	1745	3285
347	1750	3279
348	1755	3273
349	1759	3267
350	1764	3261
351	1768	3255
352	1773	3249
353	1778	3245
354	1782	3237
355	1784	3229
356	1789	3223
357	1794	3218
358	1799	3212
359	1802	3204
360	1807	3199
361	1811	3192
362	1814	3184
363	1818	3177
364	1822	3171
365	1825	3162
366	1829	3156
367	1832	3147
368	1837	3141
369	1841	3135
370	1844	3127
371	1848	3121
372	1854	3116
373	1858	3111
374	1861	3102
375	1866	3097
376	1870	3090
377	1873	3082
378	1877	3076
379	1881	3070
380	1885	3062
381	1889	3056
382	1893	3050
383	1896	3042
384	1901	3036
385	1904	3029
386	1907	3022
387	1912	3016
388	1915	3008
389	1918	3001
390	1922	2994
391	1926	2987
392	1931	2982
393	1935	2977
394	1940	2971
395	1943	2964
396	1947	2958
397	1952	2953
398	1956	2947
399	1960	2940
400	1965	2935
401	1969	2929
402	1976	2928
403	1981	2923
404	1984	2916
405	1989	2910
406	1994	2905
407	1999	2901
408	2005	2898
409	2011	2894
410	2016	2890
411	2022	2886
412	2028	2882
413	2035	2881
414	2040	2876
415	2048	2875
416	2054	2871
417	2060	2868
418	2065	2863
419	2071	2860
420	2077	2856
421	2084	2855
422	2090	2851
423	2094	2845
424	2098	2839
425	2102	2832
426	2106	2826
427	2110	2820
428	2113	2813
429	2117	2807
430	2122	2802
431	2125	2794
432	2129	2788
433	2133	2782
434	2137	2775
435	2141	2769
436	2145	2763
437	2148	2756
438	2152	2750
439	2155	2743
440	2159	2737
441	2163	2731
